"ctry","name","lat","lng"
"SEN","Dakar",14.7698283051758,-17.3643809085309
"SEN","Touba",14.8559350588368,-15.8968380922165
"SEN","Thies",14.7800322793531,-16.934649365618
"SEN","Mbour",14.4359388355688,-16.9668540099634
"SEN","Kaolack",14.1659101132182,-16.069516691326
"SEN","Ziguinchor",12.5479795068862,-16.2669824656939
"SEN","Saint-Louis",16.0251601103568,-16.494333005934
"SEN","Diourbel",14.6702580810649,-16.2328194348871
"SEN","Tambacounda",13.7643585713256,-13.6706724937921
"SEN","Louga",15.6203050497147,-16.2227547732958
"SEN","Kolda",12.8966427252053,-14.9367774125918
"SEN","Tivaouane",14.9430849506897,-16.8136084204544
"SEN","Mboro",15.142949849956,-16.8895850509896
"SEN","Richard-Toll",16.4536851509404,-15.6845993505579
"SEN","Joal-Fadiouth",14.1837266042139,-16.8526719976577
"SEN","Kaffrine",14.1017061344092,-15.5489086442332
"SEN","Bignoma",12.7950127858442,-16.2273977431915
"SEN","Medina Gounass",13.1419494232538,-13.7617373400149
"SEN","Popenguine",14.6157430296812,-17.1525564289125
"SEN","Dahra",15.3491507268257,-15.4783274065158
"SEN","Velingara",13.1533753536957,-14.1114933854798
"SEN","Kedougou",12.5649342512835,-12.2004366044125
"SEN","Bambey",14.6956316616124,-16.4594524551426
"SEN","Fatick",14.3421496970428,-16.4176263384535
"SEN","Diaoube-Kabendou",12.9090315163649,-14.1518432058048
"SEN","Sedhiou",12.701335045977,-15.5610432335377
"SEN","Darou Mousty",15.0442289901033,-16.0518345880282
"SEN","Kayar",14.9119212039821,-17.1211809936195
"SEN","Mekhe",15.1090423998349,-16.634888764069
"SEN","Dagana",16.5107663163274,-15.498851512507
"SEN","Koungheul",13.9775482515664,-14.802129462744
"SEN","Nioro du Rip",13.7464532955173,-15.7731485402843
"SEN","Kebemer",15.3701170981045,-16.4492907187903
"SEN","Ourossogui",15.6126363634549,-13.3294271750762
"SEN","Matam",15.6524515392232,-13.2587159347837
"SEN","Khombole",14.7660268425509,-16.6839226695584
"SEN","Hamady Ounare",15.340876930677,-13.02396071587
"SEN","Guinguineo",14.2698439475393,-15.9457458517049
"SEN","Rosso-Senegal",16.4966936497671,-15.8117317329374
"SEN","Ndioum",16.5090750031582,-14.6448687015263
"SEN","Linguere",15.395170763785,-15.1203743737707
"SEN","Sokone",13.878700949476,-16.3665768485397
"SEN","Karang Poste",13.5971009155252,-16.4168443098313
"SEN","Thiadaye",14.4180858156455,-16.7018614682986
"SEN","Kanel",15.4858642372186,-13.1736937235021
"SEN","Bounkiling",13.04026448253,-15.6954504172784
